ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS
569520,65+,female,majority,0-9y,high school,upper class,0.629027314,1,after 2015,0,1,10238,12000,sedan,0,0,0
750365,16-25,male,majority,0-9y,none,poverty,0.357757117,0,before 2015,0,0,10238,16000,sedan,0,0,0
199901,16-25,female,majority,0-9y,high school,working class,0.493145785,1,before 2015,0,0,10238,11000,sedan,0,0,0
478866,16-25,male,majority,0-9y,university,working class,0.206012851,1,before 2015,0,1,32765,11000,sedan,0,0,0
731664,26-39,male,majority,10-19y,none,working class,0.388365888,1,before 2015,0,0,32765,12000,sedan,2,0,1
877557,40-64,female,majority,20-29y,high school,upper class,0.619127373,1,after 2015,0,1,10238,13000,sedan,3,0,3
930134,65+,male,majority,30y+,high school,upper class,0.49294355,0,after 2015,1,1,10238,13000,sedan,7,0,3
461006,26-39,female,majority,0-9y,university,working class,0.468689297,0,after 2015,0,1,10238,14000,sedan,0,0,0
68366,40-64,female,majority,20-29y,university,working class,0.521814936,0,before 2015,1,0,10238,13000,sedan,0,0,0
445911,40-64,female,majority,0-9y,high school,upper class,0.561531032,1,before 2015,0,1,32765,11000,sedan,0,0,0
275820,65+,male,majority,30y+,high school,upper class,0.620361264,1,after 2015,1,1,10238,10000,sedan,6,2,7
521399,65+,female,majority,30y+,high school,upper class,0.729830882,1,after 2015,1,0,32765,12000,sedan,4,0,0
429728,40-64,male,majority,20-29y,high school,upper class,0.637044744,1,before 2015,1,1,10238,8000,sedan,4,1,2
569640,16-25,female,majority,0-9y,university,upper class,0.591259972,1,before 2015,0,1,10238,,sedan,0,0,0
980181,26-39,male,majority,10-19y,high school,middle class,0.461567963,1,before 2015,1,1,10238,12000,sedan,0,2,1
906223,26-39,female,majority,0-9y,high school,upper class,0.762797941,0,after 2015,1,0,10238,,sedan,0,0,0
517747,65+,male,majority,30y+,university,upper class,0.796174846,1,before 2015,1,1,32765,,sedan,10,2,1
24851,16-25,male,majority,0-9y,none,poverty,,0,before 2015,1,0,32765,12000,sedan,0,0,0
104086,26-39,female,majority,0-9y,university,upper class,0.68059428,1,before 2015,0,1,32765,,sedan,0,0,0
240658,16-25,female,majority,0-9y,high school,working class,0.417713982,1,before 2015,0,1,10238,18000,sedan,0,0,0
484399,16-25,female,majority,0-9y,high school,working class,0.409513531,0,before 2015,0,0,10238,17000,sedan,0,0,0
912828,16-25,male,majority,0-9y,high school,middle class,0.553260053,1,after 2015,1,1,32765,8000,sedan,0,0,0
892754,40-64,male,majority,20-29y,none,poverty,0.330950262,1,before 2015,1,1,10238,13000,sedan,3,1,1
217,16-25,male,majority,0-9y,none,poverty,,0,before 2015,0,0,10238,17000,sedan,0,0,0
633896,65+,male,majority,30y+,high school,upper class,0.50063066,1,before 2015,1,1,32765,7000,sedan,13,2,3
193110,26-39,female,majority,10-19y,university,middle class,0.551970181,1,before 2015,1,0,10238,14000,sports car,0,0,0
98515,40-64,male,majority,10-19y,high school,middle class,0.62699605,1,before 2015,0,0,10238,13000,sedan,1,1,0
165623,26-39,male,majority,10-19y,none,poverty,0.294797481,1,before 2015,1,0,10238,15000,sedan,0,0,1
493590,26-39,male,majority,10-19y,university,middle class,0.551950495,0,after 2015,0,0,10238,17000,sedan,0,0,1
389792,65+,male,majority,0-9y,university,upper class,0.649820471,1,after 2015,1,1,32765,9000,sedan,0,0,0
642614,40-64,male,majority,20-29y,high school,middle class,0.521804435,1,after 2015,1,1,92101,7000,sedan,2,0,1
951465,65+,female,majority,30y+,university,upper class,0.701268324,1,before 2015,1,1,10238,10000,sedan,3,1,1
496987,16-25,male,majority,0-9y,none,poverty,0.171244029,1,before 2015,1,1,10238,9000,sedan,0,0,0
732437,16-25,male,majority,0-9y,none,poverty,0.318441997,1,before 2015,0,1,32765,10000,sedan,0,0,0
146897,26-39,female,majority,0-9y,high school,middle class,0.60468427,1,before 2015,1,1,21217,11000,sedan,0,0,0
316173,16-25,male,majority,0-9y,university,working class,0.504994853,0,after 2015,0,0,32765,8000,sedan,0,0,0
9013,26-39,male,majority,10-19y,high school,working class,0.625146635,1,before 2015,0,1,10238,17000,sedan,3,0,2
511757,40-64,female,majority,10-19y,none,middle class,,1,before 2015,1,1,10238,11000,sedan,2,0,1
429947,65+,male,majority,30y+,university,upper class,,0,after 2015,0,1,10238,12000,sports car,6,0,5
485660,40-64,male,majority,10-19y,university,upper class,0.578130587,1,before 2015,0,1,92101,14000,sedan,1,0,1
80496,65+,male,majority,30y+,high school,upper class,0.70545429,1,before 2015,1,1,10238,10000,sedan,5,1,3
478336,40-64,male,majority,20-29y,university,upper class,0.659525491,1,after 2015,0,1,10238,16000,sedan,4,0,2
10843,40-64,male,majority,20-29y,university,upper class,0.587383612,0,after 2015,1,1,32765,9000,sedan,10,2,0
397446,16-25,male,majority,0-9y,none,poverty,0.406482425,0,before 2015,0,0,10238,16000,sedan,0,0,0
101678,26-39,female,majority,10-19y,high school,poverty,0.285747132,0,before 2015,0,1,10238,13000,sedan,1,0,0
231661,40-64,male,majority,20-29y,high school,middle class,0.502284965,0,before 2015,0,0,10238,14000,sports car,3,0,4
173782,65+,male,majority,20-29y,high school,upper class,0.625625721,1,after 2015,1,1,10238,7000,sedan,7,0,5
921097,40-64,female,majority,20-29y,university,upper class,,1,after 2015,1,1,92101,11000,sedan,3,0,2
98839,26-39,female,minority,10-19y,university,working class,0.39315313,1,before 2015,0,1,32765,12000,sedan,1,0,0
105372,26-39,female,minority,10-19y,none,working class,0.50394976,0,before 2015,0,1,10238,14000,sedan,1,0,0
888828,40-64,male,majority,20-29y,university,upper class,0.65862743,1,before 2015,1,0,10238,14000,sedan,3,0,2
37454,26-39,female,majority,0-9y,high school,working class,0.524146466,0,before 2015,0,0,10238,17000,sedan,0,0,0
370044,65+,male,majority,20-29y,university,upper class,0.553100757,0,after 2015,1,1,32765,7000,sedan,9,0,1
768282,16-25,female,majority,0-9y,university,working class,0.447550949,0,before 2015,1,1,10238,8000,sedan,0,0,0
738729,16-25,female,majority,0-9y,none,working class,0.510733137,1,before 2015,1,1,10238,7000,sedan,0,0,0
437535,26-39,female,majority,10-19y,high school,middle class,,1,after 2015,1,0,10238,15000,sedan,0,0,0
329536,16-25,female,majority,0-9y,high school,poverty,0.461373592,0,before 2015,0,0,32765,9000,sedan,0,0,0
328531,40-64,female,majority,20-29y,university,middle class,0.387556944,0,after 2015,0,1,32765,12000,sedan,2,0,1
123941,40-64,female,majority,20-29y,university,middle class,0.570157226,1,after 2015,1,1,10238,,sedan,0,0,0
131881,26-39,male,majority,10-19y,university,working class,0.550125088,1,before 2015,0,0,10238,16000,sedan,0,1,0
